ID,Name,Age,CustomerSince,HighestSpend,ZipCode,HiddenScore,MonthlyAverageSpend,Level,Address,Email,Phone,DateOfBirth,AccountType,Balance,LoanAmount,Income
1230,Mary Giles,61,2016,41782,99685,679,6196.23,5,"USS Richardson, FPO AA 82927",alanrodriguez@example.org,1234569119,03-06-1974,Savings,26001.56,24564.75,44424.61
1231,Eric Ford,45,2019,18328,57475,311,7975.43,2,"0980 Werner Lakes Apt. 623, Grosshaven, IN 18906",jeremyswanson@example.net,1234569120,24-06-1983,Checking,39175.72,7300.54,81547.2
1232,Susan Porter,27,2012,23539,19779,765,7908.9,3,"2819 Edwards Forges, Michaelmouth, ND 57887",lloydmarie@example.org,1234569121,20-01-1992,Checking,15310.34,16327.39,43577.04
1233,Scott Robertson,46,2021,17031,43236,570,9582.73,5,"9400 Kathleen Viaduct Apt. 688, Andremouth, NJ 45924",fjarvis@example.net,1234569122,20-04-1977,Savings,42821.46,15028.99,58112.4
1234,Deborah Landry,63,2013,26659,92420,379,9440.09,4,"789 Valentine Plains Apt. 711, West Sarah, MT 08642",mpetersen@example.net,1234569123,03-11-1951,Savings,5066.94,20877.5,77387.03
1235,Jeremy Woods,27,2020,23583,84617,591,6688.42,3,"275 Natalie Cliff Suite 442, Brianaburgh, VA 43589",jennifer89@example.net,1234569124,15-06-1955,Checking,28264.59,24553.32,83285.59
1236,Peter Johnston,51,2018,36471,76041,427,8891.8,5,"USCGC Peck, FPO AP 72962",adrian79@example.net,1234569125,20-09-1952,Savings,17642.51,12173.38,114058.63
1237,Lindsay Phillips,38,2011,25822,75106,669,4477.13,3,"399 Harris Stream, Nicholeville, PR 75529",tinasimmons@example.net,1234569126,19-02-1985,Checking,24525.11,24896.24,126876.78
1238,Brandon Cruz,26,2010,22001,24689,766,6205.49,4,"909 Sabrina Road Apt. 448, Katieview, CA 28416",eyoung@example.com,1234569127,01-12-2002,Business,23769.18,28379.55,61471.75
1239,Gregory Weber,31,2023,22660,25917,312,6401.7,2,"267 Thomas Mount Apt. 286, Steinfort, ME 64325",christina63@example.net,1234569128,09-07-1973,Savings,25024.7,22362.12,47111.17
1240,Nicole Walker,29,2010,44522,26346,379,2442.38,4,"381 Andrea Mall Suite 720, North Phillip, WY 55291",longeric@example.net,1234569129,06-02-1990,Business,9204.41,20199.97,136149.14
1241,Walter Owens,46,2016,29552,61380,736,6153.36,3,"8332 Carl Coves Apt. 541, Port Jasonchester, MT 79821",priscilla63@example.net,1234569130,11-11-1998,Savings,26319.24,9433.7,27436.16
1242,Bradley Mcdaniel,40,2016,27513,42427,472,8293.92,3,"2031 Whitehead Track Apt. 342, South Justinshire, VA 50488",tammy92@example.org,1234569131,02-11-1949,Savings,32761.43,13753.4,96216.99
1243,Anthony King,68,2023,20183,50613,315,1458.17,2,"8115 Denise Route Apt. 935, Taraborough, UT 37172",ablake@example.org,1234569132,28-11-1970,Savings,14245.29,363.8,84320.82
1244,Evelyn Brown,42,2014,16299,77735,640,776.73,3,"4328 Foster Orchard, Brittanyton, MA 84586",danielle62@example.org,1234569133,19-04-1971,Business,45792.82,21031.1,68947.58
1245,Carrie Mitchell,45,2012,43413,34071,768,2159.65,4,"2697 Reyes Hills Apt. 250, Lisamouth, OR 26380",christopher21@example.com,1234569134,11-07-1973,Checking,20237.31,27136.86,53652.17
1246,Joshua Turner,69,2023,36114,46600,789,2703.55,1,"9779 Ronald Centers Apt. 081, Robertsmouth, RI 38164",lauriemarsh@example.net,1234569135,13-11-1999,Checking,31759.03,1780.29,119634.98
1247,Norma Sims,49,2016,46862,72007,556,4965.06,3,"585 Ronald Lane, Port Nicolechester, WY 83214",simmonsevan@example.net,1234569136,31-12-1970,Checking,4031.13,9186.29,30622.34
1248,Robert Calderon,42,2010,7933,66148,484,4507.29,2,"37227 Richard Glens, Sarahstad, CT 80042",basselizabeth@example.net,1234569137,07-02-1974,Savings,40504.16,16737.7,89494.94
1249,Sandra Thompson,64,2020,19267,37629,336,7015.1,5,"29463 Dakota Spurs, North Kathleen, RI 11270",bateskathryn@example.com,1234569138,26-11-1958,Checking,18124.91,826.06,85426.87
1250,Elizabeth Baker,32,2015,6600,74988,436,5284.69,3,"6268 Teresa Lake Suite 010, Marcusport, OK 59980",kgoodwin@example.org,1234569139,26-07-1964,Savings,38987.11,1014.49,145505.39
1251,Christopher Bailey,68,2020,23389,84737,681,8342.47,1,"8097 Teresa Park Apt. 302, Rubiotown, TN 70070",eileen43@example.net,1234569140,20-12-1963,Checking,3064.37,26847.77,49232.98
1252,Shane Williams,30,2016,31107,97314,370,582.53,4,"USCGC Shaw, FPO AE 91105",marytaylor@example.org,1234569141,25-01-1988,Business,13752.21,27538.85,64979.56
1253,James Hancock,46,2018,10679,67623,659,975.18,2,"372 Joel Mall Apt. 903, West Frankbury, DC 89625",nlevine@example.org,1234569142,30-06-1988,Business,35.05,21061.25,63890.25
1254,Erika Gregory,31,2013,36316,59990,498,2400.08,2,"583 Ponce Passage Suite 283, Michaelmouth, MI 92025",haynesnatasha@example.net,1234569143,07-02-1953,Savings,36245.97,12754.77,119123.33
1255,David Horton,55,2018,32968,10414,820,4924.41,4,"299 Daniel Manor Suite 985, Garymouth, PR 55062",sdunlap@example.org,1234569144,19-06-1958,Checking,19078.34,8152.84,70194.88
1256,Michael Rojas,63,2022,36762,28993,619,9721.12,2,"681 Rivera Road Suite 538, New Rachelside, WV 80084",priscilla97@example.net,1234569145,20-06-1963,Business,30964.2,25835.03,68412.41
1257,Deborah Taylor,21,2015,6457,57870,491,829.7,1,"Unit 7179 Box 6407, DPO AA 09015",navarromatthew@example.net,1234569146,02-07-1966,Savings,418.02,24357.42,107642.98
1258,Jay Guerrero,75,2019,17779,82917,410,9307.28,4,"9314 Webb Circles Apt. 869, Robertview, PR 39379",henryamanda@example.net,1234569147,13-11-1980,Checking,30521.96,3868.31,37926.14
1259,Dominique Jones,42,2013,14943,90157,634,5807.25,2,"260 Perkins Fort Suite 898, Medinatown, WI 79517",lauraroach@example.com,1234569148,09-04-2003,Savings,31779.39,8705.38,70016.22
1260,Mr. George Williams,20,2020,11703,46755,466,6766.61,4,"30816 Kimberly Mall Suite 027, Hernandeztown, VT 23041",shanehall@example.com,1234569149,18-01-2003,Savings,4947.08,17461.18,149322.71
1261,Jessica Zimmerman,32,2010,8753,23248,453,1845.11,5,"3609 Dana Trafficway Apt. 103, West Thomas, MN 98272",juan13@example.com,1234569150,09-12-1968,Checking,10335.41,8360.15,96361.69
1262,Janet Williams,58,2016,18594,39162,804,9725.22,4,"78605 Estrada Fort Apt. 360, South Loganberg, MN 28365",riveradavid@example.com,1234569151,31-03-1997,Checking,32991.88,7420.96,46931.49
1263,Christina Stevenson,23,2017,22319,12451,454,8580.48,3,"6543 Mccoy Avenue Suite 629, West Chase, NC 92920",zachary22@example.com,1234569152,25-03-1973,Checking,14859.77,13353.81,42414.44
1264,Amanda Quinn,73,2018,37009,42988,570,2818.22,1,"147 Richard Lake Apt. 083, Coxshire, GU 77875",brendansmith@example.com,1234569153,16-05-1964,Business,21883.82,14838.39,116768.6
1265,Brittany Baldwin,29,2020,2043,33865,770,1870.14,4,"83516 Pittman Shoals Suite 876, Jonesfort, LA 23958",anthonydalton@example.com,1234569154,04-03-1965,Checking,29703.61,15031.8,89193
1266,Kimberly Hamilton,41,2010,23335,91239,591,4659.39,5,"93184 Bush Passage, North Sonya, NH 15702",daviessheila@example.com,1234569155,14-07-1974,Business,27438.83,17007.19,103408.37
1267,Christopher Ward,21,2023,34274,85028,764,2967.92,2,"2481 Victoria Villages Suite 960, Walkertown, IA 28268",tgibson@example.com,1234569156,22-08-1999,Checking,36699.88,7643.86,49026.69
1268,Sarah Fitzgerald,65,2023,1039,50011,731,6279.36,4,"33106 Foster Fall Apt. 970, Smithshire, NM 70265",pcruz@example.org,1234569157,06-01-1991,Checking,45909.96,16647.16,96852.27
1269,Crystal Smith,58,2013,11065,32551,481,1851.29,5,"791 Johnathan Haven Apt. 777, Johnsonberg, IA 22386",cohenheather@example.net,1234569158,08-11-1962,Checking,18380.96,26548.64,26054.78
1270,Pamela Arroyo,61,2015,24573,35679,728,2376.69,2,"688 Tara Bypass, Alyssaport, IL 36834",millercody@example.org,1234569159,06-10-1959,Checking,39540.06,3521.55,22681.21
1271,William Rivera,29,2017,32521,56911,705,2249.1,3,"36462 Jones Crest, Amandaland, AL 54145",brianna15@example.com,1234569160,22-04-1971,Savings,4930.21,6318.44,94037.08
1272,Alicia Bauer,32,2021,7693,46926,507,7323.03,4,"09566 Pollard Views Suite 019, Martinshire, CT 68021",craigfischer@example.net,1234569161,01-10-1996,Business,2600.35,128.52,128552.97
1273,Theresa Moore,57,2012,40175,15087,391,2512.26,3,"807 Sheryl Squares, West Justinfort, AR 01191",april46@example.net,1234569162,17-10-1963,Business,29660.43,5772.16,61405
1274,Joshua Russell,37,2019,16936,20877,394,999.3,3,"4001 Jacqueline Green, Port Kelsey, CA 36848",kayla95@example.com,1234569163,29-01-1980,Savings,30835.97,8340.22,28824.09
1275,Dwayne Osborne,57,2013,26382,69653,848,3766.74,5,"Unit 4530 Box 4884, DPO AE 36293",lisaacevedo@example.org,1234569164,15-07-1974,Savings,7954,11521.85,105410.34
1276,Cynthia Calhoun,23,2013,44524,76540,480,4186.43,1,"Unit 0145 Box 3209, DPO AP 86348",lori64@example.org,1234569165,30-12-1995,Business,12905.4,14296.43,88860.27
1277,Randy Peterson,63,2010,16129,17449,329,6722.27,4,"379 Lewis Flats, Lake Jamiefort, CO 82876",garciamathew@example.com,1234569166,05-07-1972,Savings,45988.26,19401.88,74783.29
1278,Miss Jacqueline Brown,73,2013,18333,11809,699,3494.67,2,"108 Miller Spur, Christopherland, NY 71844",knightkevin@example.org,1234569167,17-01-1959,Savings,15393.65,17437.77,86057.66
1279,Travis Andrews,50,2011,4336,21309,560,4454.84,5,"384 James Walks Suite 365, New Kyle, CO 14127",arianahensley@example.net,1234569168,26-07-1969,Business,42151.69,16731.1,34199.27
1280,Christy Warren,66,2014,1378,80936,541,5679.21,2,"91480 Williams Pass, Craigton, MH 73348",jonathan80@example.org,1234569169,21-03-1999,Savings,7124.16,27046.45,80243.17
1281,Teresa Wagner,36,2022,40428,11547,629,6704.23,5,"7259 Smith Wells Suite 861, Maryland, ID 56609",marvinbender@example.com,1234569170,02-04-1967,Checking,1872.69,11902.37,145751.87
1282,Emma Aguilar,67,2015,23637,38905,786,4879.29,3,"11092 Matthew Road, Lake Ryanchester, GU 04705",ialvarez@example.net,1234569171,13-06-2005,Checking,16007.99,10067.84,111811.44
1283,Anne Martin,74,2015,36325,27381,472,6293.84,1,"9238 Angie Extension Apt. 525, Christinaport, TX 48757",debrabennett@example.net,1234569172,14-03-2001,Business,2226.4,18909.08,137070.09
1284,Dennis Lopez,74,2021,38133,87018,315,8433.34,5,"428 Jonathan Underpass Suite 483, Stevenside, AZ 58869",owensjason@example.net,1234569173,29-07-1970,Savings,3663.4,27780.38,122072.81
1285,Brent Hernandez,40,2014,45585,13397,630,5097.27,2,"5265 Bryan Highway Apt. 791, South Kimberly, VA 71470",manderson@example.org,1234569174,28-09-1950,Business,1038.4,25570.78,55424.53
1286,Cassie West,44,2022,18599,56755,643,2953.93,3,"916 White Keys Suite 260, Lake Bethburgh, CT 12124",dsantos@example.org,1234569175,06-10-2006,Savings,30855.82,12118.6,53277.19
1287,Robert Adams,47,2012,21958,96307,519,4317.89,5,"5025 Moreno Orchard, Changfort, MA 59487",bradleycrawford@example.net,1234569176,16-01-1996,Checking,18011.94,2829.31,69772.83
1288,Sabrina Gutierrez,21,2012,3021,32414,318,4968.03,3,"559 Jordan Oval Apt. 413, Alexanderfort, AK 36434",samantha77@example.com,1234569177,02-12-1976,Checking,16803.15,6885.7,115017.71
1289,Christopher Stevens,58,2019,34266,10697,720,9340.19,1,"Unit 9323 Box 7715, DPO AE 16890",suzanne82@example.net,1234569178,28-11-1986,Checking,6494.71,20156.88,40688.94
1290,Mary Willis,62,2021,40856,25412,327,8989.28,5,"8279 Richard Center Suite 812, South Lindaburgh, KY 18801",dixonsamantha@example.com,1234569179,29-09-1982,Business,14328.11,14613.28,47893.44
1291,Aaron Taylor,51,2016,1117,84907,316,1774.49,4,"5756 Brian Park, Port Stevetown, CA 16610",qjones@example.net,1234569180,24-06-1997,Business,42079.4,18652.99,149870.94
1292,Wayne Bradley,60,2014,38848,58842,836,4860.99,1,"752 Misty Junction Apt. 243, North Donald, FM 88767",lanceanderson@example.org,1234569181,03-06-2005,Savings,23414.75,16636.2,46677.32
1293,Sarah Ferrell,59,2010,26420,25459,515,7736.95,4,"318 Smith Lodge, South Kevin, MP 86358",kimberly09@example.net,1234569182,17-04-1978,Checking,10724.56,13457.41,68199.31
1294,Michael Jordan,53,2016,16750,82347,520,9112.77,2,"819 Donovan Plains, West Anthony, NY 57106",gregorywallace@example.com,1234569183,08-08-1955,Checking,31440.8,24079.61,33795.93
1295,Lisa Powell,65,2022,31188,26986,363,7990.72,1,"103 Patricia Shoals Apt. 581, East Annachester, CO 48550",wmiller@example.net,1234569184,08-07-1990,Business,49400.57,763.73,46455.96
1296,Sarah Snyder,45,2022,46014,93026,840,1617.72,3,"86801 Williams River, West Erica, MP 52653",alan15@example.com,1234569185,24-06-1978,Checking,25113.98,14354.29,130248.49
1297,Jamie Sullivan,55,2011,44965,78938,686,9225.28,5,"8984 Michael Cliff Apt. 607, New Rachelport, AR 53513",julie07@example.net,1234569186,07-03-2006,Checking,34132.77,12662.36,48850.22
1298,Christopher Greer,47,2022,32742,82382,785,7684.07,1,"Unit 7005 Box 1087, DPO AA 93340",kmccarthy@example.net,1234569187,16-02-1962,Checking,9893.38,2297.11,31496.73
1299,Marcus Moore,49,2019,20130,53992,591,3777.24,5,"760 Robert Courts Apt. 374, South Sarahside, NC 11562",brettstrong@example.org,1234569188,01-01-1986,Business,15976.19,9520.24,102461.31
1300,Crystal Martinez,34,2022,9306,99516,352,6695.83,3,"4278 Jeffery Crossroad Apt. 206, Harrisstad, AR 58223",ashleybond@example.com,1234569189,09-09-1968,Business,24289.3,12853.13,57945.35
1301,Tanner Kramer,63,2023,26277,40566,415,2102.43,4,"079 Tom Spring Suite 589, Randyhaven, IN 76362",reynoldsandrea@example.org,1234569190,14-11-1982,Savings,43360.56,7067.07,81974.68
1302,Sean Romero,48,2017,2783,15434,808,5335.48,5,"10063 James Village Apt. 325, Elliottview, TX 27585",joshuaevans@example.org,1234569191,17-02-1996,Business,989.57,1382.25,43052.13
1303,Keith Johnson,31,2012,15266,94150,340,9303.94,4,"2969 Anna Gateway Suite 514, Olsonland, MN 21118",garyrichardson@example.net,1234569192,23-01-1988,Checking,30315.33,9305.36,131876.75
1304,Denise Brooks,39,2022,15921,13818,472,2855.97,3,"PSC 0482, Box 2238, APO AE 02865",kjones@example.net,1234569193,07-08-1984,Business,44202.49,6342.3,123956.38
1305,Lisa Chung,35,2016,28701,49047,426,6445.42,1,"23401 Misty Port Apt. 885, New Andrefurt, OK 08341",psimmons@example.org,1234569194,07-03-1971,Checking,6394.92,17058.4,119332.62
1306,Aaron Christian,20,2022,44162,74292,837,1875.36,4,"1261 Traci Overpass Apt. 739, Lake Alanside, PW 96012",mccarthywilliam@example.org,1234569195,22-10-1971,Business,13833.8,15393.78,55054.72
1307,Brandi King,20,2013,5226,71960,839,8098.78,1,"97635 Carla Tunnel Suite 270, East Chad, TX 95107",erinwagner@example.net,1234569196,17-09-2002,Checking,22897.24,16230.95,32354.35
1308,Laura Spencer,21,2016,7081,17543,771,623.58,5,"4839 Veronica Creek, Jeffreyshire, FM 96284",connorblake@example.org,1234569197,16-02-1972,Savings,44509.24,21501.18,87125.74
1309,Stephanie Price,28,2022,45367,15192,618,3732.9,1,"213 Katherine Fort, South Aaron, NC 17199",oacosta@example.org,1234569198,04-12-2001,Business,15762.23,29802.53,123693.71
1310,Sheila Friedman,40,2016,21370,65720,340,7975.13,3,"403 Jessica Causeway Apt. 397, South Ashley, MO 10670",pedwards@example.com,1234569199,22-02-1962,Savings,26082.73,5463.8,132706.66
1311,Dr. Rodney Harrison,18,2012,5708,81321,689,1340.46,4,"5935 Jessica Grove, Martinview, NC 38015",cartercarlos@example.com,1234569200,15-07-1995,Savings,12587.21,8787.62,105027.34
1312,Brandy Garner,36,2018,23137,57173,659,8087.39,2,"82732 Ashley Row Apt. 407, Stacyhaven, FL 19339",amber28@example.net,1234569201,30-03-1976,Checking,46013.8,26258.55,73727.14
1313,Ronald Cooper,59,2020,47214,63686,656,833.97,5,"413 Justin Rue Apt. 893, Mirandashire, MA 74308",jbrennan@example.org,1234569202,08-01-1961,Checking,48206.11,27274.44,32476.47
1314,Donna Jimenez,18,2017,9684,93302,689,3288.55,3,"PSC 4522, Box 5788, APO AP 58443",suttonkaren@example.org,1234569203,27-10-1980,Checking,26295.15,11442.98,83739.18
1315,Zachary Allen,26,2019,29133,33003,582,594.41,4,"44926 Lawrence Fork, East Eric, CO 50637",catherinecontreras@example.com,1234569204,28-08-1990,Checking,22555.49,26401.55,104632.39
1316,Rhonda Arroyo,22,2021,8540,20810,688,6703.06,3,"USS Taylor, FPO AE 53339",victoria14@example.net,1234569205,10-10-1970,Business,17860.79,23795.9,134830.84
1317,Kathleen David,68,2023,8386,36574,777,9146.11,2,"392 John Center, Butlertown, IL 30883",kleinanna@example.com,1234569206,12-12-1958,Savings,19218.54,26264.84,63823.71
1318,Terry Harmon,45,2015,14916,77888,552,5765.9,3,"27160 Jeremy Flats Suite 602, East Elizabeth, KY 33472",yodom@example.net,1234569207,06-09-1989,Business,1403.11,21806.39,98032.58
1319,Eduardo Shields,61,2010,7714,38515,780,7156.69,4,"686 Gonzalez Hills Suite 553, East Paulabury, MP 40409",qpollard@example.net,1234569208,19-07-2002,Savings,43906.02,20649.08,20590.15
1320,Devin Hernandez,32,2020,12417,74598,551,8073.55,4,"49031 Nelson Club, South Jonathanshire, CT 46301",peter40@example.net,1234569209,31-07-1961,Checking,25670.65,27915.38,92409.19
1321,Carlos Reed,56,2019,13659,32889,592,524,4,"4151 Davis Cove, Hollyfort, LA 69827",fjohnson@example.org,1234569210,31-12-1997,Checking,47961.71,19816.2,34757.86
1322,Leslie Moore,43,2018,14140,80716,844,5828.68,4,"932 Gary Heights Suite 795, Port Danielle, AL 41617",danielhughes@example.org,1234569211,17-02-1963,Savings,36337.22,12368.86,35724.38
1323,Zachary King,53,2013,36081,24813,721,3612.88,5,"6145 Perkins Cliffs, East Angela, FM 93934",ashley01@example.org,1234569212,12-04-1973,Savings,11345.81,26273.42,72796.77
1324,Cody Ramirez,32,2013,25137,23056,691,7421.76,2,"02864 Krista Ports, New Dennis, NH 13377",davissteven@example.net,1234569213,14-08-1986,Checking,46368.17,4946.45,111321.67
1325,Jacqueline Gutierrez,47,2018,6131,67350,475,2897.18,1,"09376 Ortega Radial Apt. 144, Matthewton, NV 67038",daniellebrown@example.com,1234569214,02-05-1988,Business,16255.25,2117.14,40517.67
1326,Kyle Warren,30,2016,35433,28804,424,9963.8,3,"32498 Robert Spur, East Marissaville, DC 68522",rgutierrez@example.org,1234569215,17-01-1971,Savings,5874.73,10523.85,132310.13
1327,Brian Peters,39,2017,17360,12988,389,5737.09,3,"09486 Antonio Shoals Suite 717, Leefurt, NH 56683",mary01@example.org,1234569216,07-10-1984,Checking,14525.4,23206.28,30152.48
1328,Amy Peterson,56,2013,44082,86319,315,2375.39,4,"Unit 8374 Box 5295, DPO AA 44274",xray@example.org,1234569217,03-11-1980,Savings,27423.19,24908.3,134419.01
1329,John Stewart,24,2019,45233,30078,354,4963.68,4,"2281 Caleb Well Apt. 257, East Christina, VT 50867",amy91@example.org,1234569218,27-07-1980,Savings,40101.39,15564.39,95155.85
1330,Rebecca Wilson,56,2021,18976,36074,819,7473.04,1,"0992 Richard Circles Suite 221, Lisaview, ID 88085",gbarnett@example.net,1234569219,31-12-1973,Checking,39389.01,29279.86,141328.79
1331,Michael Watkins,74,2011,47819,43154,513,9248.6,5,"41272 Cervantes Garden, East Jessica, WA 07293",johncampbell@example.net,1234569220,02-12-2005,Checking,6058.74,24155.7,67994.9
1332,Sheila Gardner,23,2018,13814,50778,844,4376.06,5,"87494 Elizabeth Terrace Suite 647, West Dawnborough, SD 89879",kristendavies@example.net,1234569221,01-07-1977,Savings,44418.13,14880.35,112097.37
1333,Renee Hernandez,68,2011,33791,38948,611,8063.73,5,"06474 Natasha Circle Apt. 133, West Thomasborough, MH 24839",freemanroger@example.net,1234569222,22-01-1963,Business,1119.72,13474.11,113742.33
1334,James Diaz,38,2012,13635,72120,418,5552.14,3,"3520 Andrew River, North Lauren, GU 27642",moranalec@example.net,1234569223,12-09-1964,Business,36838.61,21836.4,40897.75
1335,Robert Black,38,2012,19003,86459,542,5254.29,3,"2743 Katie View Suite 910, Longland, NV 95293",charles18@example.com,1234569224,18-05-1958,Business,26210.59,19530.78,73817.23
1336,Sandra Morton,52,2014,6174,52317,479,1478.93,5,"USNS Jensen, FPO AP 12404",wkelly@example.com,1234569225,03-12-1950,Checking,2800.82,24515,129120.86
1337,Tony Reeves,47,2010,14834,47073,703,6618,1,"04785 Barry Station Apt. 351, South Keith, WA 20644",bondgary@example.com,1234569226,08-03-2004,Savings,44608.15,27112.13,116130.19
1338,Juan Clark,75,2015,41442,30348,368,4426.79,1,"6772 Brian Junctions, Fisherville, WA 91293",msmith@example.net,1234569227,02-03-1983,Business,32901.66,22251.14,27781.7
1339,Jennifer Williams,38,2011,47014,19388,600,6670.31,3,"371 Ali Court, South Rachelmouth, NY 53289",klinemichelle@example.net,1234569228,29-05-1968,Savings,18048.84,21133.29,53608.56
1340,Tamara Walsh,34,2012,46653,61083,517,8928.99,2,"880 Ray Island, West Nicholas, OK 67552",vromero@example.com,1234569229,21-09-1976,Business,39815.6,28753.05,86419.34
1341,Jason Neal,19,2019,32428,11440,424,2290.1,1,"9413 Christine Dale, Victoriashire, MP 90024",figueroaapril@example.com,1234569230,04-01-1949,Savings,31248.26,24064.81,60937.8
1342,Daniel Davis,51,2020,16593,79300,411,6542.46,4,"9261 Jason Estates, East Darius, IA 42986",drobertson@example.net,1234569231,11-04-1997,Checking,37694.46,24060.73,82714.17
1343,Nicole Taylor,20,2018,5636,74341,722,2415.19,3,"42883 Clark Meadow Suite 670, Dwayneland, DC 87504",egonzalez@example.org,1234569232,12-06-1962,Business,13076.78,29720.98,59926.3
1344,Matthew Beltran,30,2019,39690,40554,820,2906.91,2,"USCGC Peterson, FPO AP 25578",leechristopher@example.org,1234569233,22-06-1981,Business,32906.64,16298.94,45156.16
1345,Ryan Graham,41,2022,23663,17777,328,7027.03,4,"051 Harrison Circles Suite 571, New Donald, NJ 99205",travistorres@example.com,1234569234,08-01-1999,Savings,10840.8,6499.26,110333.58
1346,Alexandra Boyd,23,2012,1092,15256,484,2953,3,"661 Cunningham Roads, Maryport, ID 23429",hjackson@example.org,1234569235,25-12-1968,Business,9737.23,23888.97,127340.47
1347,Richard Woodward,31,2018,39515,96208,793,5725.64,4,"48075 Justin Expressway, Lake Timothyland, VI 43108",abigail46@example.org,1234569236,19-09-1998,Checking,20257.28,19615.86,127160.99
1348,Paul Cox,73,2016,21043,61882,587,5510.42,4,"932 Paul Square, Barkerfurt, AS 47015",trevor80@example.net,1234569237,01-02-1997,Business,26878.19,21330.65,28247.65
1349,Sharon Bright,51,2014,44509,22160,638,3987.27,2,"7001 Ruiz Lock Apt. 031, West Annstad, AL 48726",daniel20@example.org,1234569238,09-09-1962,Business,42933.53,23466.62,57476.6
1350,Kathleen Lewis,40,2010,12285,85639,640,3362.25,2,"59526 Cruz Path, Lake Nichole, VA 80944",nicolechavez@example.com,1234569239,05-08-1953,Savings,24882.43,4919.28,130084.8
1351,Taylor Rodriguez,30,2022,14805,91142,703,2165.48,2,"39645 Jeremy Burg Suite 544, Rogersport, LA 29897",nicholas82@example.com,1234569240,16-05-1993,Savings,40615.18,10549.82,83529.52
1352,Brian Johnson,71,2022,2171,74708,629,1512.62,1,"930 Logan Avenue Apt. 608, North Cynthiaton, LA 68327",ugordon@example.net,1234569241,15-05-1998,Savings,1393.06,15833.98,76594.9
1353,Brian Campbell,30,2015,36007,76156,451,5842.66,1,"USNS Kramer, FPO AA 63080",elizabethgonzalez@example.org,1234569242,09-05-1959,Savings,717.28,29603.8,95584.26
1354,Cynthia French PhD,34,2012,43517,54046,812,6995,1,"667 Goodman Centers, North Andreaport, UT 05552",alex70@example.com,1234569243,04-10-1985,Savings,11446.51,1486.01,141008.71
1355,James Hernandez,61,2010,46877,98388,651,1605.68,5,"PSC 6881, Box 9227, APO AP 57575",bradleywilliams@example.org,1234569244,14-07-1986,Savings,10515.8,2470.21,48682.46
1356,Carlos Taylor,64,2018,31662,85003,486,4622.72,4,"871 Alex Camp, Port Shane, DC 26088",xfleming@example.net,1234569245,22-09-2000,Savings,35589.49,25605.69,91726.31
1357,Amy Woods,65,2013,47275,70642,352,3023.51,1,"404 Kelly Port Suite 616, North Erin, WA 44843",staffordrachel@example.org,1234569246,26-09-1971,Savings,33780.55,19134.52,88889.3
1358,Jessica Wright,37,2021,41334,58974,665,4554.84,5,"81082 Brenda Mall, Wilsonshire, FL 25565",mosleymelissa@example.net,1234569247,29-06-1968,Savings,25247,27805.44,115342.46
1359,Anne Thompson,37,2017,42472,51518,786,5000.28,4,"4253 Miller Turnpike Suite 323, New Jamesmouth, WI 67333",ihoward@example.com,1234569248,28-07-1980,Savings,31578.62,305.5,56854.44
1360,Jerry Harris,51,2020,35516,37038,591,3511.02,1,"611 Linda Roads, Currytown, MA 11132",lisapowers@example.net,1234569249,25-09-1973,Savings,781.13,1447.4,91104.15
1361,Deborah Mendoza,73,2019,23636,15432,400,7900.61,3,"USCGC Wilson, FPO AA 38771",michelle22@example.com,1234569250,10-06-1975,Savings,1899.89,7653.12,142954.98
1362,Maureen Morrison,42,2014,40943,92791,458,3969.12,1,"988 Rebecca Falls, Hannahchester, WY 40692",camachocheryl@example.com,1234569251,08-04-1968,Business,29781.55,17661.05,146775.38
1363,Jennifer Jordan,34,2022,15846,12700,705,7853.91,2,"04119 Taylor Center, Port Rebecca, DE 80174",mjenkins@example.com,1234569252,26-08-1977,Checking,18863.46,9768,88623.98
1364,Carlos Carlson,48,2016,27351,37491,529,7009.49,4,"370 Chen Center, Brianberg, DC 23159",harveypaula@example.com,1234569253,30-10-1980,Savings,45408.68,8791.46,116662.72
1365,Robert Franklin MD,40,2023,49693,53464,620,9018.43,1,"808 Joshua Mission, East Patriciaborough, AK 79634",cindy50@example.com,1234569254,26-08-1957,Business,15299.92,11138.45,98656.4
1366,Destiny Torres,73,2022,10132,50991,830,4056.75,5,"653 Stevens Village Apt. 339, Thomasbury, IA 07429",lauren60@example.net,1234569255,14-06-1969,Savings,349.22,22977.8,80805.54
1367,Veronica Lewis,63,2010,40030,97417,432,7215.69,4,"78059 Johnson Corner Apt. 509, North Rhonda, KS 39977",ahubbard@example.org,1234569256,13-05-1977,Savings,42389.7,21029.34,110107.14
1368,Kerry Johnson,33,2022,25063,39809,303,9114.97,3,"621 Hernandez Locks, Garciabury, NJ 96062",rdavenport@example.org,1234569257,21-07-1964,Business,42607.29,9207.02,46213.52
1369,Jessica Simon,20,2013,34296,82049,463,4228.63,4,"4105 Kathleen Wells, Crystalville, KS 05363",rodriguezlaura@example.net,1234569258,25-12-1962,Business,42037.42,7702.73,94320.66
1370,Robert Kelley,37,2019,34299,71116,827,3710.05,2,"978 Karen Meadows, Port David, AR 06806",hayssara@example.org,1234569259,19-04-1993,Savings,30241.8,8093.71,90436.38
